,0
0,California
1,Connecticut
2,Delaware
3,Illinois
4,Iowa
5,Kansas
6,Kentucky
7,Louisiana
8,Maine
9,Massachusetts
10,Michigan
11,Minnesota
12,Mississippi
13,Missouri
14,Montana
15,Nebraska
16,New Hampshire
17,New Mexico
18,North Carolina
19,North Dakota
20,Oklahoma
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,South Dakota
25,Tennessee
26,Utah
27,Vermont
28,Virginia
29,West Virginia
30,Wisconsin
31,Wyoming
